Value,ESP_Name
1655,Alaskan Pacific Maritime Floodplain Forest and Shrubland
1656,Alaskan Pacific Maritime Shrub and Herbaceous Floodplain Wetland
1657,Alaskan Pacific Maritime Shore Pine Peatland
1658,Alaskan Pacific Maritime Dwarf-Shrub-Sphagnum Peatland
1659,Alaskan Pacific Maritime Mountain Hemlock Peatland
1660,Alaskan Pacific Maritime Wet Low Shrubland
1661,Alaskan Pacific Maritime Fen and Wet Meadow
1662,Temperate Pacific Freshwater Emergent Marsh
1663,North Pacific Shrub Swamp
1665,Alaskan Pacific Maritime Coastal Meadow and Slough-Levee
1668,Temperate Pacific Tidal Salt and Brackish Marsh
1670,North Pacific Maritime Eelgrass Bed
1671,Aleutian American Dunegrass Grassland
1673,Alaskan Pacific Maritime Alpine Wet Meadow
1674,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field
1676,Alaskan Pacific Maritime Alpine Floodplain
1677,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland
1678,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest
1679,Alaska Sub-boreal White Spruce-Hardwood Forest
1680,Alaskan Pacific Maritime Avalanche Slope Shrubland
1681,Alaskan Pacific Maritime Poorly Drained Conifer Woodland
1682,Alaska Arctic Scrub Birch-Ericaceous Shrubland
1683,Alaska Arctic Mesic Sedge-Willow Tundra
1684,Alaska Arctic Mesic Sedge-Dryas Tundra
1685,Alaska Arctic Acidic Sparse Tundra
1686,Alaska Arctic Non-Acidic Sparse Tundra
1687,Alaska Arctic Lichen Tundra
1688,Alaska Arctic Acidic Dryas Dwarf-Shrubland
1689,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland
1690,Alaska Arctic Dwarf-Shrubland
1691,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra
1692,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra
1693,Alaska Arctic Shrub-Tussock Tundra
1694,Alaska Arctic Tussock Tundra
1695,Alaska Arctic Tussock-Lichen Tundra
1697,Alaska Arctic Pendantgrass Freshwater Marsh
1698,Alaska Arctic Wet Sedge Meadow
1699,Alaska Arctic Mesic Herbaceous Meadow
1700,Alaska Arctic Polygonal Ground Mesic Shrub Tundra
1701,Alaska Arctic Coastal Sedge-Dwarf-Shrubland
1702,Alaska Arctic Wet Sedge-Sphagnum Peatland
1703,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland
1704,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra
1705,Alaska Arctic Sedge Freshwater Marsh
1706,Alaska Arctic Polygonal Ground Wet Sedge Tundra
1707,Alaska Arctic Polygonal Ground Tussock Tundra
1708,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra
1709,Alaska Arctic Marine Beach and Beach Meadow
1710,Alaska Arctic Tidal Flat
1711,Alaska Arctic Tidal Marsh
1712,Alaska Arctic Coastal Brackish Meadow
1713,Alaska Arctic Active Inland Dune
1714,Alaska Arctic Large River Floodplain
1715,Alaska Arctic Floodplain
1716,Aleutian Rocky Headland and Sea Cliff
1717,Alaska Arctic Bedrock and Talus
1718,Aleutian Mesic Alder-Salmonberry Shrubland
1719,Aleutian Crowberry-Herbaceous Heath
1720,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland
1722,Aleutian Freshwater Marsh
1723,Aleutian Wet Meadow and Herbaceous Peatland
1725,Aleutian Marine Beach and Beach Meadow
1726,Aleutian Tidal Marsh
1727,Aleutian Shrub and Herbaceous Meadow Floodplain
1728,Aleutian Floodplain Forest and Shrubland
1729,Aleutian Floodplain Wetland
1730,Aleutian Sparse Heath and Fell-Field
1731,Aleutian Oval-leaf Blueberry Shrubland
1732,Aleutian Volcanic Rock and Talus
1734,North Pacific Alpine and Subalpine Bedrock and Scree
1804,Hawaii Freshwater Marsh
1806,Hawaii Bog
1808,Hawaii Lowland Rainforest
1809,Hawaii Montane Cloud Forest
1810,Hawaii Montane Rainforest
1811,Hawaii Wet Cliff and Ridge Crest Shrubland
1813,Hawaii Lowland Dry Forest
1814,Hawaii Lowland Mesic Forest
1815,Hawaii Montane-Subalpine Dry Forest and Woodland
1816,Hawaii Montane-Subalpine Mesic Forest
1817,Hawaii Lowland Dry Shrubland
1818,Hawaii Lowland Mesic Shrubland
1819,Hawaii Lowland Dry Grassland
1820,Hawaii Lowland Mesic Grassland
1821,Hawaii Montane-Subalpine Dry Shrubland
1822,Hawaii Montane-Subalpine Dry Grassland
1823,Hawaii Montane-Subalpine Mesic Grassland
1824,Hawaii Alpine Dwarf-Shrubland
1825,Hawaii Dry Cliff
1826,Hawaii Dry Coastal Strand
1827,Hawaii Wet-Mesic Coastal Strand
1828,Hawaii Subalpine Mesic Shrubland
