system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
0000563aaf1909e582d8,992156400000,1.78,,,,Hoover,227,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49633434496582,37.649007230176785]}"
000051534d0a3f1f460f,992156400000,2.2,,,,Hoover,228,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4990175968827,37.648247501196295]}"
000082053167fdd29b2f,992156400000,1.8,,,,Hoover,194,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49890173556622,37.65087215119425]}"
00007de985d6ed16191c,992156400000,2.8,,,,Hoover,185,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49738316439978,37.65729312246592]}"
00003976c837b506e954,992156400000,2.3,,,,Hoover,191,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47548074307252,37.66094520308247]}"
00007ea59a8f8d61def9,992156400000,2.31,,,,Hoover,225,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47001401222387,37.66461027004753]}"
0000ecb78441ac136256,992156400000,2.98,,,,Hoover,188,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46866588230093,37.66395368756605]}"
00007b7ca395e909016d,992156400000,1.21,,,,Hoover,236,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46556636094428,37.66278407956193]}"
000092383448e684be2e,992156400000,2.95,,,,Hoover,190,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46820269013814,37.66126909749763]}"
000006c29ffc4b986b23,992156400000,2.88,,,,Hoover,189,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46909951043936,37.66267404810013]}"
0000ae71bd5ec962b6f3,992156400000,2.91,,,,Hoover,212,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47003461850016,37.65942850472566]}"
0000235d339420c7a0a5,992156400000,1.38,,,,Hoover,201,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46872767940005,37.658302484330655]}"
00005c8bdb24e604e0b8,992156400000,1.71,,,,Hoover,213,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47130912272202,37.65582440626547]}"
0000f9d77cae3876d952,992156400000,2.4,,,,Hoover,178,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47319832768484,37.6577581807353]}"
00005776436a01c65420,992156400000,2.9,,,,Hoover,214,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48967753015695,37.64008299807044]}"
