fire_id,sev_img_present,state,agency,unit_id,fire_name,inc_num,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,area_ha,FID,ypmc_pixel_count,alarm_year,alarm_month,alarm_day,cont_year,cont_month,cont_day
0000e631e2ec50073777,1,CA,NPS,YNP,FROG,00000069,1,,3838.89647237581,3838.91186523438,4,2,00000069,1553.55250284837,0,10329,1987,6,28,1987,11,4
0000596112c89e54229b,1,CA,NPS,KNP,LAUREL,00000000,1,,12,5.33977079391479,8,2,00000046,2.16092862587544,0,25,1987,6,28,1987,7,25
000010a87267943fd0fd,1,CA,NPS,YNP,CAMPGROUND,00000073,1,,1207.29158004092,1207.29638671875,4,2,00000073,488.575525144216,0,3567,1987,7,7,1987,11,20
00003661360cdfda849b,1,CA,NPS,KNP,DOG CREEK,00000000,1,,450,412.42333984375,8,2,00000055,166.901808675901,0,1077,1987,7,8,1987,10,27
00003d14931f9dd068dd,1,CA,NPS,YNP,BETTY BLACE,00000080,1,,393.323985814457,393.325561523438,4,2,00000080,159.173207644155,0,1227,1987,7,17,,,
0000754df414be15e098,1,CA,NPS,KNP,FUNSTON,00000000,1,,50,62.9641036987305,8,2,00000062,25.4806683724051,0,51,1987,7,19,1987,11,15
0000b4bd42390f92dad6,1,CA,NPS,YNP,LOST BEAR,00000083,1,,1999.26807458573,1999.27612304688,4,2,00000083,809.078319986295,0,4847,1987,7,23,1987,11,20
00008d3d583c16b6404e,1,CA,USF,TOI,,00000000,9,,,6349.6767578125,,1,00000119,2569.62308322091,0,2876,1987,7,29,,,
00009400d0fa6645f297,1,CA,USF,STF,CASCADE,,2,20090305,30,29.3197174072266,6,1,00000137,11.8652684537923,0,115,1987,7,31,1987,8,2
0000aa0e1a714f3f819c,1,CA,USF,SQF,,00000000,2,,10,9.36698055267334,8,1,00000170,3.79068257121977,0,42,1987,8,9,1987,8,9
000024d80e074d2c82d4,1,CA,USF,PNF,,00000000,2,,520,409.238586425781,8,1,00000206,165.612985993632,0,1480,1987,8,18,1987,8,19
0000298fd27b23277ff2,1,CA,USF,SQF,,00000000,1,,,11.4571094512939,,1,00000179,4.63652781172557,0,13,1987,8,22,,,
000039c3bbf694214646,1,CA,USF,STF,EVER,,2,20090305,550,519.281555175781,8,1,00000156,210.145800278923,0,2677,1987,8,28,1987,8,29
0000de101e16afb630c0,1,CA,CDF,TUU,CASE,00000000,1,,4500,4510.32666015625,8,1,00000092,1825.26443088298,0,13288,1987,8,29,1987,9,10
0000d755eb7c07374678,1,CA,CDF,TUU,PIERCE,00001033,1,,700,685.435180664062,8,1,00000182,277.385769525402,0,2734,1987,8,29,1987,9,5
00001b6ba5f7729e6f5e,1,CA,USF,STF,PACK,,1,20090305,10,20.2951164245605,8,1,00000222,8.21314250569207,0,7,1987,8,29,1987,8,31
0000b6eb794134fc54b7,1,CA,USF,TNF,PALMER,00000000,1,,1612,1971.53662109375,8,1,00000176,797.852573445638,0,9247,1987,8,29,1987,9,8
00004ba7991be5415400,1,CA,USF,TNF,INDIAN,00000000,1,,8500,9242.6923828125,,1,00000168,3740.38479221311,0,49725,1987,8,29,1987,9,11
00007cb022c36f0b41eb,1,CA,USF,STF,RIVER II,,1,20090305,565,701.407043457031,8,1,00000181,283.849370770044,0,2823,1987,8,30,1987,9,4
0000bafc4812e81fdc1f,1,CA,USF,STF,HAMM,,1,Stanislaus Complex,31076,33143.875,6,1,00000214,13412.8505359898,0,116320,1987,8,30,1987,9,13
000024f0746cfd27bec0,1,CA,NPS,KNP,MUIR,00000000,1,,15,12.4566593170166,8,1,00000084,5.04103131021289,0,65,1987,8,30,1987,9,2
0000f9135dda17fc2864,1,CA,USF,SNF,MORMON,00000000,1,,30,26.976842880249,8,1,00000196,10.9171411861671,0,133,1987,8,30,1987,9,1
000057bfe51a84851766,1,CA,USF,INF,LAUREL,00000000,7,,1465,1018.14379882812,8,1,00000089,412.028172593499,0,609,1987,8,30,1987,9,4
0000f8d62e28cf5fa43c,1,CA,USF,STF,LARSON,00000215,1,Stanislaus Complex,48300,48086.9609375,8,1,00000215,19460.1024523992,0,168471,1987,8,30,1987,9,10
000006fbb4ce5afe4e02,1,CA,USF,STF,HALLS,00000000,1,,20,6.36160278320312,8,1,00000212,2.57444939313452,0,27,1987,8,30,1987,8,31
00003a70ebf6fedca59e,1,CA,CDF,BTU,PLUMAS NF #531 (CLARK),00004167,9,,,39920.76171875,,1,00000511,16155.3586160262,0,103316,1987,8,30,,,
0000d06caee57dde7ed7,1,CA,USF,PNF,,00000000,1,,90,55.2720603942871,8,1,00000239,22.3678091885913,0,161,1987,8,30,1987,9,1
00008a4c242f04692802,1,CA,USF,PNF,,00000000,1,,232,129.9443359375,8,1,00000246,52.5866084958093,0,410,1987,8,30,1987,9,5
00009a12bc20895bb741,1,CA,USF,PNF,,00000000,1,,24,17.2658081054688,8,1,00000224,6.98722479349499,0,103,1987,8,30,1987,9,1
0000b2c5f78ef884eee3,1,CA,USF,SQF,,00000000,1,,30,25.0873069763184,8,1,00000197,10.1524732520232,0,141,1987,8,30,1987,9,4
0000c799d8e032afc4a7,1,CA,USF,SQF,,00000000,1,,20,14.9937906265259,8,1,00000187,6.06777167417565,0,50,1987,8,30,1987,9,6
00006d30bce9daf86c49,1,CA,USF,SQF,FAY,00000000,1,,13260,12153.30078125,8,1,00000190,4918.26615778022,0,28021,1987,8,30,1987,9,5
0000eb71b731810417aa,1,CA,USF,SQF,,00000000,1,,11,8.08346652984619,8,1,00000229,3.27126267473316,0,23,1987,8,30,1987,9,1
00002d883aaee2b3631e,1,CA,USF,STF,PAPER,,1,Stanislaus Complex,52947,45020.3046875,8,1,00000226,18219.0708416561,0,153439,1987,8,31,1987,10,12
0000c559eb87ad49c0f2,1,CA,USF,STF,CLAVEY 87 COMPLEX,,1,20090305,0,8741.05859375,8,1,00000226,3537.38092130452,0,18417,1987,8,31,,,
0000b65558fa77e251ba,1,CA,USF,STF,MOORE,,1,20090305,20,23.3092517852783,8,1,00000194,9.43291927414482,0,106,1987,8,31,1987,8,31
00005fd07ce0f01428c4,1,CA,USF,TNF,BIG,00000000,1,,1035,894.5693359375,8,1,00000207,362.019375070705,0,3923,1987,8,31,1987,9,6
00007d0b842dd29778f5,1,CA,CDF,LMU,ASSIST P.N.F.,00004185,14,,,1046.9609375,,1,00000513,423.690037030878,0,5257,1987,8,31,,,
0000a6b788287efc8ef7,1,CA,CDF,TCU,PAPER,,9,Stanislaus Complex,0,4339.01953125,8,1,00000750,1755.93889406233,0,4238,1987,9,1,,,
00003c786f262783f703,1,CA,USF,STF,HASLOE,,1,20090305,8293,6523.6064453125,8,1,00000213,2640.0097997522,0,22718,1987,9,1,1987,9,7
0000bf9264367aaa9910,1,CA,USF,STF,JARREL,,1,20090305,1749,1813.50549316406,8,1,00000237,733.899659214626,0,7990,1987,9,3,1987,9,12
0000c63bec2483831fb5,1,CA,USF,STF,DOUD,,3,20090305,10,6.94109106063843,8,1,00000230,2.80895986649682,0,15,1987,9,10,1987,9,10
000006c8f540bb666b3f,1,CA,NPS,KNP,BURNT MT,00000000,1,,30,35.5908699035645,8,2,00000112,14.4031140469716,0,195,1987,9,21,1987,11,13
0000071959555b6d7e25,1,CA,NPS,YNP,GLEN AULIN,00000138,1,,262.273322412777,262.274353027344,4,2,00000138,106.138669449669,0,100,1987,9,21,1987,11,20
000000b7d289acbdb8f1,1,CA,NPS,YNP,BOSWELL,00000139,1,,143.710294202267,143.710876464844,8,2,00000139,58.157725892332,0,206,1987,9,21,1987,9,27
0000a1f63f172ccfd035,1,CA,NPS,KNP,SODA CREE,00000000,1,,260,175.756530761719,8,2,00000117,71.126147227866,0,464,1987,9,26,1987,11,13
000039cb54604eb3a957,1,CA,NPS,KNP,COFFEE,00000000,1,,240,196.192840576172,8,1,00000081,79.3964227193964,0,683,1987,9,29,1987,9,10
0000ca715923d6b37b84,1,CA,USF,TOI,,00000000,5,,,28.4493293762207,,1,00000171,11.5130348926152,0,87,1987,11,12,,,
000043e601fcfc5b9ba3,1,CA,CDF,NEU,USFS ASSIST 3,00001142,9,,,212.067474365234,,1,00000191,85.8206598524861,0,1195,1988,3,27,,,
